"% of page scrolled","Pixels scrolled","# of visitors","% of visitors"
"5%","111","184","100.0%"
"10%","222","184","100.0%"
"15%","333","184","100.0%"
"20%","445","183","99.5%"
"25%","556","183","99.5%"
"30%","667","160","87.0%"
"35%","779","131","71.2%"
"40%","890","124","67.9%"
"45%","1001","96","52.7%"
"50%","1113","94","51.6%"
"55%","1224","85","46.2%"
"60%","1335","84","45.7%"
"65%","1446","82","45.1%"
"70%","1558","82","45.1%"
"75%","1669","78","42.9%"
"80%","1780","78","42.9%"
"85%","1892","78","42.9%"
"90%","2003","75","40.8%"
"95%","2114","71","39.1%"
"100%","2226","64","34.8%"
